i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
61,duration_40th_percentile,2015-03-01,52,0.9942671465581249,56.010820293682286,5,5,5
62,duration_40th_percentile,2015-03-01,50,0.9838197585300509,23.13972290384345,1,6,6
63,duration_40th_percentile,2015-03-01,49,0.9894889739217051,130.10843778308606,5,6,6
64,duration_40th_percentile,2015-03-01,51,0.9754686556915916,27.383363045731357,1,5,5
65,duration_40th_percentile,2015-03-01,46,0.9950802569836623,79.49066716783,3,5,5
66,duration_40th_percentile,2015-03-01,46,0.9963989432208609,81.76447741292611,6,7,7
67,duration_40th_percentile,2015-03-01,56,0.9924452061594741,73.06572530524704,4,4,4
68,duration_40th_percentile,2015-03-01,49,0.9792810883445752,64.91054393183583,3,5,5
69,duration_40th_percentile,2015-03-01,49,0.9940642758311321,107.3720092251848,4,7,7
70,duration_40th_percentile,2015-03-01,43,0.990513673142371,18.412855617989408,3,7,7
71,duration_40th_percentile,2015-03-01,45,0.9861043607742841,43.576345735790596,2,7,7
72,duration_40th_percentile,2015-03-01,50,0.9858619272797382,50.61943738668924,4,5,5
73,duration_40th_percentile,2015-03-01,53,1.0,172.76857144766416,7,4,4
74,duration_40th_percentile,2015-03-01,44,0.9963395411232037,61.232927037060335,3,6,6
75,duration_40th_percentile,2015-03-01,50,0.9861005705736547,42.38263036325361,4,5,5
76,duration_40th_percentile,2015-03-01,47,0.9917813029414659,108.50872638628209,4,7,7
77,duration_40th_percentile,2015-03-01,47,0.9959621526021211,113.468175248443,5,7,7
78,duration_40th_percentile,2015-03-01,48,0.9703913598948759,36.92798082643242,3,5,5
79,duration_40th_percentile,2015-03-01,48,0.9947256907388952,43.00581446294166,4,5,5
80,duration_40th_percentile,2015-03-01,45,0.9794005687051888,102.16318912809288,4,5,5
81,duration_40th_percentile,2015-03-01,48,0.9793984197765592,15.650229978604216,3,6,6
82,duration_40th_percentile,2015-03-01,51,0.9913825393174474,80.33305883796811,4,6,6
83,duration_40th_percentile,2015-03-01,46,0.9761146233923085,36.28765527031055,2,6,6
84,duration_40th_percentile,2015-03-01,53,0.9846998260890569,46.71092366289588,3,5,5
85,duration_40th_percentile,2015-03-01,51,0.9772986945927421,21.823973800179147,3,6,6
86,duration_40th_percentile,2015-03-01,50,0.9955966303956795,114.06213652077713,5,6,6
87,duration_40th_percentile,2015-03-01,47,0.9770039846352362,6.895627810801216,1,6,6
