i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
0,duration_45th_percentile,1/03/2015,47,0.984051512,56.09789353,3,5,5
1,duration_45th_percentile,1/03/2015,49,0.982826891,94.09815756,4,5,5
2,duration_45th_percentile,1/03/2015,50,0.976865398,40.13561455,2,4,4
3,duration_45th_percentile,1/03/2015,49,0.989924347,17.00956308,2,4,4
4,duration_45th_percentile,1/03/2015,49,0.977325075,31.35871546,3,4,4
5,duration_45th_percentile,1/03/2015,48,0.976127476,79.47060628,4,5,5
6,duration_45th_percentile,1/03/2015,47,0.988923493,135.7402804,4,6,6
7,duration_45th_percentile,1/03/2015,50,0.961241564,59.33408683,3,4,4
8,duration_45th_percentile,1/03/2015,45,0.992966083,65.84283332,4,7,7
9,duration_45th_percentile,1/03/2015,53,0.998753567,66.82874164,5,3,3
10,duration_45th_percentile,1/03/2015,53,0.959584911,40.19556949,2,2,2
11,duration_45th_percentile,1/03/2015,47,0.984471831,40.17913975,2,6,6
12,duration_45th_percentile,1/03/2015,50,0.973255824,34.85704141,4,4,4
13,duration_45th_percentile,1/03/2015,44,0.98653797,62.00419749,3,6,6
14,duration_45th_percentile,1/03/2015,46,0.971886492,9.706388214,1,6,6
15,duration_45th_percentile,1/03/2015,45,0.978793789,78.94744831,3,5,5
16,duration_45th_percentile,1/03/2015,46,0.952199454,60.11482408,3,5,5
17,duration_45th_percentile,1/03/2015,52,0.979417743,31.56958703,2,4,4
18,duration_45th_percentile,1/03/2015,48,0.989304912,49.57160848,4,5,5
19,duration_45th_percentile,1/03/2015,46,0.985902209,78.16856543,4,6,6
20,duration_45th_percentile,1/03/2015,49,0.987910239,114.0991729,4,4,4
21,duration_45th_percentile,1/03/2015,48,0.960672124,0,0,4,4
22,duration_45th_percentile,1/03/2015,48,0.969900815,50.97985526,2,5,5
23,duration_45th_percentile,1/03/2015,49,0.995782957,73.67909299,5,5,5
24,duration_45th_percentile,1/03/2015,48,0.9638667,28.35577909,4,6,6
25,duration_45th_percentile,1/03/2015,46,0.985157162,57.94669725,3,5,5
26,duration_45th_percentile,1/03/2015,50,0.985865988,30.37366263,2,4,4
27,duration_45th_percentile,1/03/2015,49,0.984744095,24.17858742,2,4,4
28,duration_45th_percentile,1/03/2015,48,0.989660351,78.98494723,5,5,5
29,duration_45th_percentile,1/03/2015,51,0.986757527,41.57366915,3,4,4
30,duration_45th_percentile,1/03/2015,44,0.984761242,14.09225797,2,7,7
31,duration_45th_percentile,1/03/2015,50,0.985907714,55.08812021,4,5,5
32,duration_45th_percentile,1/03/2015,46,0.983071046,33.64154373,2,6,6
33,duration_45th_percentile,1/03/2015,45,0.994546856,107.4547748,4,7,7
34,duration_45th_percentile,1/03/2015,47,0.9870738,78.27154046,5,6,6
35,duration_45th_percentile,1/03/2015,48,0.980946049,62.19118752,2,5,5
36,duration_45th_percentile,1/03/2015,46,0.947877366,30.59504377,3,5,5
37,duration_45th_percentile,1/03/2015,48,0.99797395,113.2545245,5,4,4
38,duration_45th_percentile,1/03/2015,51,0.994252156,37.01347477,3,4,4
39,duration_45th_percentile,1/03/2015,48,0.997206652,36.82158763,5,4,4
40,duration_45th_percentile,1/03/2015,50,0.973603769,43.71794073,2,4,4
41,duration_45th_percentile,1/03/2015,44,0.99595845,162.4636158,5,6,6
42,duration_45th_percentile,1/03/2015,52,0.977082224,132.5597624,4,4,4
43,duration_45th_percentile,1/03/2015,54,0.986674465,49.39105159,3,3,3
44,duration_45th_percentile,1/03/2015,50,0.963168434,34.5625642,3,5,5
45,duration_45th_percentile,1/03/2015,50,0.971100694,71.29408046,4,5,5
46,duration_45th_percentile,1/03/2015,50,1,79.216585,7,5,5
47,duration_45th_percentile,1/03/2015,50,0.994929026,73.99092742,5,5,5
48,duration_45th_percentile,1/03/2015,50,0.988724052,92.34639594,4,5,5
49,duration_45th_percentile,1/03/2015,49,0.976294895,49.8847962,4,5,5
50,duration_45th_percentile,1/03/2015,48,0.997864192,102.5116901,6,6,6
51,duration_45th_percentile,1/03/2015,48,0.961218045,78.39049321,3,5,5
52,duration_45th_percentile,1/03/2015,50,0.99609046,46.61529957,4,5,5
53,duration_45th_percentile,1/03/2015,48,0.971310441,45.71240779,3,6,6
54,duration_45th_percentile,1/03/2015,49,0.96561041,29.56812957,3,4,4
55,duration_45th_percentile,1/03/2015,47,0.960941688,41.18197442,2,5,5
56,duration_45th_percentile,1/03/2015,43,0.946764804,23.35155877,1,7,7
57,duration_45th_percentile,1/03/2015,50,0.985516521,65.90996157,3,4,4
58,duration_45th_percentile,1/03/2015,52,0.986907595,41.29299832,3,5,5
59,duration_45th_percentile,1/03/2015,45,0.951661163,26.87558975,2,6,6
60,duration_45th_percentile,1/03/2015,50,1,86.19436601,7,4,4
61,duration_45th_percentile,1/03/2015,46,0.983666445,86.10431676,3,6,6
62,duration_45th_percentile,1/03/2015,47,0.984655325,40.06657265,2,7,7
63,duration_45th_percentile,1/03/2015,55,0.960637995,52.45172913,3,2,2
64,duration_45th_percentile,1/03/2015,53,0.996191285,91.27257758,6,4,4
65,duration_45th_percentile,1/03/2015,48,0.988889015,113.3882712,4,6,6
66,duration_45th_percentile,1/03/2015,53,0.956505034,12.72044256,3,4,4
67,duration_45th_percentile,1/03/2015,49,0.985263474,92.07612093,4,3,3
68,duration_45th_percentile,1/03/2015,49,0.962155416,33.86176981,4,4,4
69,duration_45th_percentile,1/03/2015,55,0.958993858,55.42295146,3,1,1
70,duration_45th_percentile,1/03/2015,54,0.966471206,17.38817883,2,2,2
71,duration_45th_percentile,1/03/2015,51,0.970178379,57.65002868,4,4,4
72,duration_45th_percentile,1/03/2015,46,0.949755096,51.6708099,4,5,5
73,duration_45th_percentile,1/03/2015,51,0.990354215,50.0495353,4,3,3
74,duration_45th_percentile,1/03/2015,49,0.982750483,33.77043902,3,4,4
75,duration_45th_percentile,1/03/2015,49,0.997820055,63.45981659,5,6,6
76,duration_45th_percentile,1/03/2015,48,0.979109429,44.28500023,3,5,5
77,duration_45th_percentile,1/03/2015,47,0.982502261,6.94084929,1,5,5
78,duration_45th_percentile,1/03/2015,49,0.983020615,6.890489075,2,6,6
79,duration_45th_percentile,1/03/2015,50,0.964807225,5.83530257,2,4,4
80,duration_45th_percentile,1/03/2015,45,0.988070338,148.2263889,3,6,6
81,duration_45th_percentile,1/03/2015,48,0.992013249,184.6604025,5,5,5
82,duration_45th_percentile,1/03/2015,51,0.971768854,32.49056446,3,3,3
83,duration_45th_percentile,1/03/2015,44,0.984024803,26.44110761,2,6,6
84,duration_45th_percentile,1/03/2015,53,0.993104317,95.78556143,5,4,4
85,duration_45th_percentile,1/03/2015,51,0.997070971,64.62954924,4,4,4
86,duration_45th_percentile,1/03/2015,49,0.995660945,124.7566469,6,4,4
87,duration_45th_percentile,1/03/2015,47,0.971745572,58.17100641,5,6,6
88,duration_45th_percentile,1/03/2015,45,0.974837631,64.98420599,2,6,6
89,duration_45th_percentile,1/03/2015,45,0.99271417,132.5795147,5,6,6
90,duration_45th_percentile,1/03/2015,49,0.986035016,129.9942212,4,5,5
91,duration_45th_percentile,1/03/2015,47,0.996085383,80.13104723,4,5,5
92,duration_45th_percentile,1/03/2015,50,0.987025809,90.67225635,3,5,5
93,duration_45th_percentile,1/03/2015,49,0.972337727,54.4431587,3,6,6
