,objective type,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
65,t&p matrix,TRUE,91,69,0,0,21.02702703,3.864864865,0.72972973,37,8,0,0
66,t&p matrix,TRUE,91,70,0,0,35.4375,4.875,-2.354166667,48,11,0,0
67,t&p matrix,TRUE,91,71,0,0,12.64516129,2.290322581,-0.032258065,31,6,0,0
68,t&p matrix,TRUE,91,72,0,0,24.09756098,6.707317073,-3,41,6,0,0
69,t&p matrix,TRUE,91,73,0,0,26.7027027,6.486486486,0.108108108,37,8,0,0
70,t&p matrix,TRUE,91,74,0,0,24.76470588,6.235294118,-0.078431373,51,9,0,0
71,t&p matrix,TRUE,91,75,0,0,20.65714286,8.257142857,2.828571429,35,8,0,0
72,t&p matrix,TRUE,91,76,0,0,31.11111111,7.388888889,1.277777778,36,7,0,0
73,t&p matrix,TRUE,91,77,0,0,43.28,3.32,0.2,25,6,0,0
74,t&p matrix,TRUE,91,78,0,0,30.78431373,6.352941176,0.392156863,51,10,0,0
75,t&p matrix,TRUE,91,79,0,0,20.07894737,-0.710526316,-0.131578947,38,10,0,0
76,t&p matrix,TRUE,91,80,0,0,29.81818182,-0.909090909,-1.840909091,44,8,0,0
77,t&p matrix,TRUE,91,81,0,0,25.33333333,4.333333333,-2.666666667,27,6,0,0
78,t&p matrix,TRUE,91,82,0,0,20.2962963,2.666666667,-1.981481481,54,9,0,0
79,t&p matrix,TRUE,91,83,0,0,19.90909091,3.840909091,0.613636364,44,9,0,0
80,t&p matrix,TRUE,91,84,0,0,29.05,10.475,-0.675,40,9,0,0
81,t&p matrix,TRUE,91,85,0,0,26.55,11.025,-0.575,40,9,0,0
82,t&p matrix,TRUE,91,86,0,0,26.51724138,5.034482759,1.965517241,29,6,0,0
83,t&p matrix,TRUE,91,87,0,0,35.14285714,9.142857143,-0.171428571,35,11,0,0
84,t&p matrix,TRUE,91,88,0,0,45.89285714,8.857142857,3.25,28,8,0,0
85,t&p matrix,TRUE,91,89,0,0,38.53488372,1.860465116,0.418604651,43,9,0,0
86,t&p matrix,TRUE,91,90,0,0,29.30952381,5.404761905,0.976190476,42,8,0,0
87,t&p matrix,FALSE,91,1,1046,44,20.43037975,31.49367089,34.69620253,79,11,3,0.036585366
88,t&p matrix,FALSE,91,2,36,1,7.131578947,6.815789474,29.55263158,38,5,2,0.05
89,t&p matrix,FALSE,91,3,0,0,16.6875,19.59375,19.40625,32,6,2,0.058823529
90,t&p matrix,FALSE,91,4,0,0,44.76470588,29.35294118,9.882352941,17,3,1,0.055555556
91,t&p matrix,FALSE,91,6,70,2,14.76363636,16.43636364,17.23636364,55,8,1,0.017857143
92,t&p matrix,FALSE,91,7,4,1,39.33333333,18.03333333,14.26666667,30,6,3,0.090909091
93,t&p matrix,FALSE,91,8,8,2,27.07407407,13.33333333,34.33333333,27,5,1,0.035714286
94,t&p matrix,FALSE,91,9,14,1,39.19047619,37.80952381,12.76190476,21,5,0,0
95,t&p matrix,FALSE,91,10,0,0,13.14583333,19.79166667,14.22916667,48,8,2,0.04
96,t&p matrix,FALSE,91,11,6,1,37.52777778,19.63888889,5.916666667,36,8,1,0.027027027
97,t&p matrix,FALSE,91,12,0,0,14.97619048,20.66666667,15.78571429,42,7,1,0.023255814
98,t&p matrix,FALSE,91,13,1,1,36.71875,19.9375,6.5,32,5,0,0
99,t&p matrix,FALSE,91,14,0,0,30.72727273,16.20454545,5,44,7,1,0.022222222
100,t&p matrix,FALSE,91,15,0,0,31.25,28,0.59375,32,6,0,0
101,t&p matrix,FALSE,91,16,0,0,28.90322581,13.83870968,3.451612903,31,6,6,0.162162162
102,t&p matrix,FALSE,91,17,5,1,30.23076923,17.84615385,8.512820513,39,7,3,0.071428571
103,t&p matrix,FALSE,91,18,27,3,21.60465116,27.86046512,6.558139535,43,7,1,0.022727273
104,t&p matrix,FALSE,91,19,6,1,8.088235294,17.79411765,-0.882352941,34,7,2,0.055555556
105,t&p matrix,FALSE,91,20,0,0,14.5,23.82,8.82,50,7,1,0.019607843
106,t&p matrix,FALSE,91,21,0,0,30.88571429,23.17142857,10.65714286,35,8,2,0.054054054
107,t&p matrix,FALSE,91,22,0,0,22.65,23.475,6.925,40,7,3,0.069767442
108,t&p matrix,FALSE,91,23,21,2,54.22727273,37.09090909,0,22,5,0,0
109,t&p matrix,FALSE,91,24,4,2,25.56410256,22.84615385,1.435897436,39,7,2,0.048780488
110,t&p matrix,FALSE,91,25,0,0,23.02325581,18.13953488,3.279069767,43,8,4,0.085106383
111,t&p matrix,FALSE,91,26,2,1,24.45454545,26.69090909,5.6,55,9,2,0.035087719
112,t&p matrix,FALSE,91,27,2,1,21.12121212,20.3030303,6.303030303,33,8,3,0.083333333
113,t&p matrix,FALSE,91,28,4,1,30.89473684,21.47368421,2.868421053,38,6,3,0.073170732
114,t&p matrix,FALSE,91,29,7,1,50.33333333,29.33333333,10,18,5,1,0.052631579
115,t&p matrix,FALSE,91,30,2,2,50.2,32.2,3.44,25,6,2,0.074074074
116,t&p matrix,FALSE,91,31,7,2,54.53333333,18.06666667,18.2,15,5,3,0.166666667
117,t&p matrix,FALSE,91,32,10,6,43.04761905,21.45238095,1.928571429,42,7,1,0.023255814
118,t&p matrix,FALSE,91,33,0,0,23.48780488,15.90243902,5.56097561,41,7,3,0.068181818
119,t&p matrix,FALSE,91,34,73,2,21.51351351,21.67567568,3.27027027,37,6,2,0.051282051
120,t&p matrix,FALSE,91,35,10,2,35.33333333,11.06060606,5.666666667,33,7,3,0.083333333
121,t&p matrix,FALSE,91,36,0,0,30.90243902,19.2195122,5.146341463,41,7,2,0.046511628
122,t&p matrix,FALSE,91,37,0,0,14.10526316,15.52631579,8.236842105,38,7,2,0.05
123,t&p matrix,FALSE,91,38,0,0,20.97058824,28.41176471,4.911764706,34,7,4,0.105263158
124,t&p matrix,FALSE,91,39,0,0,25.56410256,27.28205128,1.794871795,39,9,1,0.025
125,t&p matrix,FALSE,91,40,30,1,29.04545455,38.02272727,-0.75,44,7,2,0.043478261
126,t&p matrix,FALSE,91,41,8,2,50.56,24.4,9.92,25,7,0,0
127,t&p matrix,FALSE,91,42,0,0,70.52631579,13.05263158,0,19,5,0,0
128,t&p matrix,FALSE,91,45,6,3,44.58333333,21.875,9.208333333,24,5,0,0
129,t&p matrix,FALSE,91,46,0,0,32.36111111,36.80555556,8.583333333,36,6,0,0
130,t&p matrix,FALSE,91,47,0,0,25,24.82758621,9.75862069,29,5,2,0.064516129
131,t&p matrix,FALSE,91,48,0,0,43.08,9.12,8,25,5,0,0
132,t&p matrix,FALSE,91,49,0,0,20.97674419,8.953488372,8.093023256,43,8,0,0
133,t&p matrix,FALSE,91,50,0,0,28.02380952,31.85714286,2.904761905,42,8,2,0.045454545
134,t&p matrix,FALSE,91,51,6,3,22.11111111,18.6,9.977777778,45,10,0,0
135,t&p matrix,FALSE,91,52,0,0,27.27906977,10.88372093,5.534883721,43,6,1,0.022727273
136,t&p matrix,FALSE,91,53,0,0,27.875,21.125,9.65625,32,8,1,0.03030303
137,t&p matrix,FALSE,91,54,3,1,15.18644068,19.18644068,8.474576271,59,9,0,0
138,t&p matrix,FALSE,91,55,0,0,34.62962963,22.96296296,1.444444444,27,7,0,0
139,t&p matrix,FALSE,91,56,0,0,10,32.14814815,3.037037037,27,5,3,0.1
