,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
49,0,t&p matrix,True,False,91,2,40,1,5.815789473684211,12.026315789473685,32.76315789473684,38,5,0,0.0
50,0,t&p matrix,True,False,91,3,0,0,24.84375,13.59375,22.5625,32,6,1,0.030303030303030304
51,0,t&p matrix,True,False,91,4,0,0,33.0,28.055555555555557,18.27777777777778,18,3,0,0.0
52,0,t&p matrix,True,False,91,6,0,0,19.14,23.26,19.84,50,8,1,0.0196078431372549
53,0,t&p matrix,True,False,91,7,7,1,27.0,32.5,15.941176470588236,34,6,0,0.0
54,0,t&p matrix,True,False,91,8,0,0,25.821428571428573,16.928571428571427,17.75,28,5,1,0.034482758620689655
55,0,t&p matrix,True,False,91,9,0,0,66.27272727272727,8.136363636363637,8.590909090909092,22,5,0,0.0
56,0,t&p matrix,True,False,91,10,0,0,38.680851063829785,14.72340425531915,11.595744680851064,47,8,0,0.0
57,0,t&p matrix,True,False,91,11,0,0,27.566666666666666,25.733333333333334,5.0,30,8,2,0.0625
58,0,t&p matrix,True,False,91,12,1,1,24.8125,30.729166666666668,14.166666666666666,48,7,1,0.02040816326530612
59,0,t&p matrix,True,False,91,13,2,1,19.451612903225808,34.903225806451616,11.258064516129032,31,5,0,0.0
60,0,t&p matrix,True,False,91,14,0,0,33.35,18.85,9.275,40,7,3,0.06976744186046512
61,0,t&p matrix,True,False,91,15,5,1,26.37037037037037,17.51851851851852,16.962962962962962,27,6,2,0.06896551724137931
62,0,t&p matrix,True,False,91,16,0,0,21.485714285714284,17.228571428571428,17.571428571428573,35,6,1,0.027777777777777776
63,0,t&p matrix,True,False,91,17,0,0,25.692307692307693,14.0,15.076923076923077,39,7,1,0.025
64,0,t&p matrix,True,False,91,18,12,1,22.488888888888887,19.488888888888887,12.577777777777778,45,7,0,0.0
65,0,t&p matrix,True,False,91,19,0,0,24.580645161290324,22.93548387096774,5.806451612903226,31,7,0,0.0
66,0,t&p matrix,True,False,91,20,0,0,17.666666666666668,17.77777777777778,13.555555555555555,45,7,3,0.0625
67,0,t&p matrix,True,False,91,21,0,0,22.5,12.175,18.5,40,8,2,0.047619047619047616
