i,percentile_column_name,month_start,num_surgeries_completed,average_session_utilisation,total_mins_overtime,total_mins_surgery_time,num_sessions_that_run_overtime,num_sessions_with_cancelled_surgeries,num_surgeries_cancelled
0,duration_60th_percentile,2015-03-01,48,0.8318647316534378,0.0,3144.4486856499943,0,4,5
1,duration_60th_percentile,2015-03-01,47,0.9001085802126468,0.0,3402.4104332038046,0,5,6
2,duration_60th_percentile,2015-03-01,46,0.896346034381111,0.0,3388.1880099605996,0,6,7
3,duration_60th_percentile,2015-03-01,46,0.8608835318061817,0.0,3254.1397502273667,0,4,7
4,duration_60th_percentile,2015-03-01,49,0.8581690625008115,0.0,3243.879056253067,0,3,4
5,duration_60th_percentile,2015-03-01,49,0.8851832773440721,0.0,3345.992788360593,0,4,4
6,duration_60th_percentile,2015-03-01,50,0.8789060411793738,0.0,3322.2648356580335,0,3,3
7,duration_60th_percentile,2015-03-01,47,0.8585139111094223,5.152382400530655,3250.3349663941476,1,4,6
8,duration_60th_percentile,2015-03-01,51,0.9157283877434753,0.0,3461.453305670337,0,2,2
9,duration_60th_percentile,2015-03-01,51,0.9370557823281424,1.6536296165445492,3543.7244868169228,1,1,2
10,duration_60th_percentile,2015-03-01,43,0.9303951267326498,11.917324968590037,3528.810904018006,1,4,10
11,duration_60th_percentile,2015-03-01,47,0.9446120945539123,11.934473519500443,3582.5681909332884,1,4,6
12,duration_60th_percentile,2015-03-01,48,0.9213086821787183,21.41662140056485,3503.9634400361197,1,4,5
13,duration_60th_percentile,2015-03-01,51,0.9287507354904043,0.0,3510.677780153728,0,2,2
14,duration_60th_percentile,2015-03-01,49,0.9312102565150372,128.79841786261545,3648.773187489456,1,3,4
15,duration_60th_percentile,2015-03-01,49,0.8989069202776688,0.0,3397.8681586495886,0,3,4
16,duration_60th_percentile,2015-03-01,52,0.8863198341102054,0.0,3350.288972936576,0,1,1
17,duration_60th_percentile,2015-03-01,49,0.8799820730665692,11.388347964183822,3337.7205841558152,1,3,4
18,duration_60th_percentile,2015-03-01,47,0.9304544611700785,95.93487811626858,3613.052741339165,3,4,6
19,duration_60th_percentile,2015-03-01,47,0.8906811185953922,0.0,3366.7746282905823,0,6,6
