,iteration,objective type,disruptions?,perfect_information_bool,days_considered_tardy,week,total tardiness,number of patients tardy,average wait time (priority < 0.33),average wait_time (0.33 < priority < 0.66),average wait time 0.66 < priority,number of surgeries scheduled,num sessions,num surgeries cancelled,cancelation proportion
48,0,t&p matrix,False,False,91,1,1066,45,34.4125,23.9125,31.575,80,11,1,0.012345679012345678
49,0,t&p matrix,False,False,91,2,40,1,6.944444444444445,10.833333333333334,34.52777777777778,36,5,2,0.05263157894736842
50,0,t&p matrix,False,False,91,3,0,0,24.09090909090909,12.696969696969697,18.818181818181817,33,6,0,0.0
51,0,t&p matrix,False,False,91,4,0,0,33.111111111111114,28.444444444444443,14.055555555555555,18,3,0,0.0
52,0,t&p matrix,False,False,91,6,0,0,15.339622641509434,15.283018867924529,18.037735849056602,53,8,1,0.018518518518518517
53,0,t&p matrix,False,False,91,7,7,1,25.37142857142857,23.37142857142857,12.82857142857143,35,6,0,0.0
54,0,t&p matrix,False,False,91,8,0,0,32.629629629629626,16.037037037037038,27.14814814814815,27,5,0,0.0
55,0,t&p matrix,False,False,91,9,0,0,59.63636363636363,20.045454545454547,8.045454545454545,22,5,0,0.0
56,0,t&p matrix,False,False,91,10,0,0,18.67924528301887,11.584905660377359,7.188679245283019,53,8,1,0.018518518518518517
57,0,t&p matrix,False,False,91,11,0,0,33.125,31.59375,10.90625,32,8,1,0.030303030303030304
58,0,t&p matrix,False,False,91,12,0,0,23.975609756097562,17.317073170731707,7.609756097560975,41,7,2,0.046511627906976744
59,0,t&p matrix,False,False,91,13,22,2,28.06896551724138,22.655172413793103,5.0344827586206895,29,5,1,0.03333333333333333
60,0,t&p matrix,False,False,91,14,6,1,14.837209302325581,26.0,11.581395348837209,43,7,0,0.0
61,0,t&p matrix,False,False,91,15,0,0,39.6,23.733333333333334,9.0,30,6,1,0.03225806451612903
62,0,t&p matrix,False,False,91,16,7,1,27.575757575757574,19.424242424242426,16.333333333333332,33,6,3,0.08333333333333333
